Alias;Provincia;Municipio_oficial;Codigo_INE;Fuente;Confianza
Alaguàs;Valencia/València;Alaquàs;46005;https://www.ine.es/#v5-2-alias-municipal;ALTA
Albalat de Sorells;Valencia/València;Albalat dels Sorells;46009;https://www.ine.es/#v5-2-alias-municipal;ALTA
Alcora;Castellón/Castelló;Alcora, l';12005;https://www.ine.es/#v5-2-alias-municipal;ALTA
Alfarp;Valencia/València;Alfarb;46026;https://www.ine.es/#v5-2-alias-municipal;ALTA
Alfàs del Pi;Alicante/Alacant;Alfàs del Pi, l';03011;https://www.ine.es/#v5-2-alias-municipal;ALTA
Algimia de Alfara;Valencia/València;Algímia d'Alfara;46030;https://www.ine.es/#v5-2-alias-municipal;ALTA
Almazora;Castellón/Castelló;Almassora;12009;https://www.ine.es/#v5-2-alias-municipal;ALTA
Ametlla del Vallès;Barcelona;Ametlla del Vallès, L';08005;https://www.ine.es/#v5-2-alias-municipal;ALTA
Amorebieta-Extano;Bizkaia;Amorebieta-Etxano;48003;https://www.ine.es/#v5-2-alias-municipal;ALTA
Alcalá de la Real;Jaén;Alcalá la Real;23002;https://www.ine.es/#v5-2-alias-municipal;ALTA
Sant Sadurní de Anoia;Barcelona;Sant Sadurní d'Anoia;08240;https://www.ine.es/#v5-2-alias-municipal;ALTA
Ribarroja del Turia;Valencia/València;Riba-roja de Túria;46214;https://www.ine.es/#v5-2-alias-municipal;ALTA
Vilablino;León;Villablino;24202;https://www.ine.es/#v5-2-alias-municipal;ALTA
Pastoriza;Lugo;Pastoriza, A;27044;https://www.ine.es/#v5-2-alias-municipal;ALTA
Os Blancos;Ourense;Blancos, Os;32012;https://www.ine.es/#v5-2-alias-municipal;ALTA
Abrucema;Almería;Abrucena;04002;https://www.ine.es/#v5-2-alias-municipal;ALTA
Aldehuela de Jerte;Cáceres;Aldehuela del Jerte;10016;https://www.ine.es/#v5-2-alias-municipal;ALTA
Aretaxabaleta;Gipuzkoa;Aretxabaleta;20013;https://www.ine.es/#v5-2-alias-municipal;ALTA
Arnoia;Ourense;Arnoia, A;32003;https://www.ine.es/#v5-2-alias-municipal;ALTA
Banalmádena;Málaga;Benalmádena;29025;https://www.ine.es/#v5-2-alias-municipal;ALTA
Bembribe;León;Bembibre;24014;https://www.ine.es/#v5-2-alias-municipal;ALTA
Benalup Casasviejas;Cádiz;Benalup-Casas Viejas;11901;https://www.ine.es/#v5-2-alias-municipal;ALTA
Benatal;Jaén;Benatae;23016;https://www.ine.es/#v5-2-alias-municipal;ALTA
Benitachel;Alicante/Alacant;Poble Nou de Benitatxell, el/Benitachell;03042;https://www.ine.es/#v5-2-alias-municipal;ALTA
Benitatxell;Alicante/Alacant;Poble Nou de Benitatxell, el/Benitachell;03042;https://www.ine.es/#v5-2-alias-municipal;ALTA
Binérfar;Huesca;Binéfar;22061;https://www.ine.es/#v5-2-alias-municipal;ALTA
Brunyola y Sant Martí Sapresa;Girona;Brunyola i Sant Martí Sapresa;17028;https://www.ine.es/#v5-2-alias-municipal;ALTA
Carbornero el Mayor;Segovia;Carbonero el Mayor;40043;https://www.ine.es/#v5-2-alias-municipal;ALTA
Castell-Platja d'Aro;Girona;Castell d'Aro, Platja d'Aro i s'Agaró;17048;https://www.ine.es/#v5-2-alias-municipal;ALTA
Castelló de la Ribera;Valencia/València;Castelló;46257;https://www.ine.es/#v5-2-alias-municipal;ALTA
Chinchilla;Albacete;Chinchilla de Monte-Aragón;02029;https://www.ine.es/#v5-2-alias-municipal;ALTA
Ciutadella;Illes Balears;Ciutadella de Menorca;07015;https://www.ine.es/#v5-2-alias-municipal;ALTA
Arcos de la Llana;Burgos;Arcos;09023;https://www.ine.es/#v5-3-alias-municipal;ALTA
Bidegoian;Gipuzkoa;Bidania-Goiatz;20024;https://www.ine.es/#v5-3-alias-municipal;ALTA
Bretó de la Ribera;Zamora;Bretó;49025;https://www.ine.es/#v5-3-alias-municipal;ALTA
Markina;Bizkaia;Markina-Xemein;48060;https://www.ine.es/#v5-3-alias-municipal;ALTA
Paracuellos de la Vega;Cuenca;Paracuellos;16150;https://www.ine.es/#v5-3-alias-municipal;ALTA
Villadecanes;León;Toral de los Vados;24206;https://www.ine.es/#v5-3-alias-municipal;ALTA
Cogollos Vega;Granada;Cogollos de la Vega;18050;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cortagana;Huelva;Cortegana;21025;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cruïlles-Monells-Sant Sadurní de l'Heura;Girona;Cruïlles, Monells i Sant Sadurní de l'Heura;17901;https://www.ine.es/#v5-2-alias-municipal;ALTA
Cuevas de Almanzora;Almería;Cuevas del Almanzora;04035;https://www.ine.es/#v5-2-alias-municipal;ALTA
El Albiol;Tarragona;Albiol, L';43003;https://www.ine.es/#v5-2-alias-municipal;ALTA
El Padul;Granada;Padul;18150;https://www.ine.es/#v5-2-alias-municipal;ALTA
El Pozo de Guadalajara;Guadalajara;Pozo de Guadalajara;19225;https://www.ine.es/#v5-2-alias-municipal;ALTA
Els Garidells;Tarragona;Garidells, Els;43066;https://www.ine.es/#v5-2-alias-municipal;ALTA
Els Guiamets;Tarragona;Guiamets, Els;43070;https://www.ine.es/#v5-2-alias-municipal;ALTA
Els Hostalets de Pierola;Barcelona;Hostalets de Pierola, Els;08162;https://www.ine.es/#v5-2-alias-municipal;ALTA
Els Omells de na Gaia;Lleida;Omells de na Gaia, Els;25154;https://www.ine.es/#v5-2-alias-municipal;ALTA
Es Bòrdes;Lleida;Bòrdes, Es;25057;https://www.ine.es/#v5-2-alias-municipal;ALTA
Esparraguera;Barcelona;Esparreguera;08076;https://www.ine.es/#v5-2-alias-municipal;ALTA
