Codigo_INE;Municipio;Municipio_normalizado;Provincia;Provincia_normalizada;Comunidad;Población;Latitud;Longitud;Altitud;Habitantes
01001;Alegría-Dulantzi;alegria dulantzi;Araba/Álava;araba/alava;País Vasco/Euskadi;Alegría-Dulantzi;42.84045247;-2.512507724;568;2961
01002;Amurrio;amurrio;Araba/Álava;araba/alava;País Vasco/Euskadi;Amurrio;43.05265767;-3.001015194;217;10346
01003;Aramaio;aramaio;Araba/Álava;araba/alava;País Vasco/Euskadi;Aramaio;43.05257873;-2.564829379;325;1353
01004;Artziniega;artziniega;Araba/Álava;araba/alava;País Vasco/Euskadi;Artziniega;43.1217919;-3.13052099;199;1868
01006;Armiñón;arminon;Araba/Álava;araba/alava;País Vasco/Euskadi;Armiñón;42.72340924;-2.872270813;466;233
01008;Arratzua-Ubarrundia;arratzua ubarrundia;Araba/Álava;araba/alava;País Vasco/Euskadi;Arratzua-Ubarrundia;42.88990689;-2.640208161;514;1058
01009;Asparrena;asparrena;Araba/Álava;araba/alava;País Vasco/Euskadi;Asparrena;42.88962423;-2.317425972;603;1611
01010;Ayala/Aiara;ayala/aiara;Araba/Álava;araba/alava;País Vasco/Euskadi;Ayala/Aiara;43.07792083;-3.042683621;311;2917
01011;Baños de Ebro/Mañueta;banos de ebro/manueta;Araba/Álava;araba/alava;País Vasco/Euskadi;Baños de Ebro/Mañueta;42.53023483;-2.679560658;428;292
01013;Barrundia;barrundia;Araba/Álava;araba/alava;País Vasco/Euskadi;Barrundia;42.91759943;-2.496599499;562;882
01014;Berantevilla;berantevilla;Araba/Álava;araba/alava;País Vasco/Euskadi;Berantevilla;42.68269243;-2.859369462;470;475
01016;Bernedo;bernedo;Araba/Álava;araba/alava;País Vasco/Euskadi;Bernedo;42.62644187;-2.498883519;714;541
01017;Campezo/Kanpezu;campezo/kanpezu;Araba/Álava;araba/alava;País Vasco/Euskadi;Campezo/Kanpezu;42.6700208;-2.351267973;567;1071
01018;Zigoitia;zigoitia;Araba/Álava;araba/alava;País Vasco/Euskadi;Zigoitia;42.95770957;-2.729743759;582;1841
01019;Kripan;kripan;Araba/Álava;araba/alava;País Vasco/Euskadi;Kripan;42.59166499;-2.515660773;694;175
01020;Kuartango;kuartango;Araba/Álava;araba/alava;País Vasco/Euskadi;Kuartango;42.86990022;-2.887492118;553;402
01021;Elburgo/Burgelu;elburgo/burgelu;Araba/Álava;araba/alava;País Vasco/Euskadi;Elburgo/Burgelu;42.850282;-2.545933;540;641
01022;Elciego;elciego;Araba/Álava;araba/alava;País Vasco/Euskadi;Elciego;42.51517189;-2.618158173;458;970
01023;Elvillar/Bilar;elvillar/bilar;Araba/Álava;araba/alava;País Vasco/Euskadi;Elvillar/Bilar;42.5693108;-2.54478966;585;315
01027;Iruraiz-Gauna;iruraiz gauna;Araba/Álava;araba/alava;País Vasco/Euskadi;Iruraiz-Gauna;42.83131017;-2.475996232;627;556
01028;Labastida/Bastida;labastida/bastida;Araba/Álava;araba/alava;País Vasco/Euskadi;Labastida/Bastida;42.590217;-2.793199;555;1573
01030;Lagrán;lagran;Araba/Álava;araba/alava;País Vasco/Euskadi;Lagrán;42.62612082;-2.584350717;753;177
01031;Laguardia;laguardia;Araba/Álava;araba/alava;País Vasco/Euskadi;Laguardia;42.5533855;-2.585006293;634;1468
01032;Lanciego/Lantziego;lanciego/lantziego;Araba/Álava;araba/alava;País Vasco/Euskadi;Lanciego/Lantziego;42.56218527;-2.512791745;536;706
01033;Lapuebla de Labarca;lapuebla de labarca;Araba/Álava;araba/alava;País Vasco/Euskadi;Lapuebla de Labarca;42.49365329;-2.572925135;430;895
01034;Leza;leza;Araba/Álava;araba/alava;País Vasco/Euskadi;Leza;42.56512037;-2.634860283;571;204
01036;Laudio/Llodio;laudio/llodio;Araba/Álava;araba/alava;País Vasco/Euskadi;Laudio/Llodio;43.14320105;-2.962806782;125;18063
01037;Arraia-Maeztu;arraia maeztu;Araba/Álava;araba/alava;País Vasco/Euskadi;Arraia-Maeztu;42.738527;-2.444299;649;818
01039;Moreda de Álava/Moreda Araba;moreda de alava/moreda araba;Araba/Álava;araba/alava;País Vasco/Euskadi;Moreda de Álava/Moreda Araba;42.5237608;-2.408129211;445;218
01041;Navaridas;navaridas;Araba/Álava;araba/alava;País Vasco/Euskadi;Navaridas;42.54373653;-2.62454944;514;200
01042;Okondo;okondo;Araba/Álava;araba/alava;País Vasco/Euskadi;Okondo;43.1615513;-3.019026823;135;1180
01043;Oyón-Oion;oyon oion;Araba/Álava;araba/alava;País Vasco/Euskadi;Oyón-Oion;42.506067;-2.436788;435;3541
01044;Peñacerrada-Urizaharra;penacerrada urizaharra;Araba/Álava;araba/alava;País Vasco/Euskadi;Peñacerrada-Urizaharra;42.64434353;-2.713556409;748;332
01046;Erriberagoitia/Ribera Alta;erriberagoitia/ribera alta;Araba/Álava;araba/alava;País Vasco/Euskadi;Erriberagoitia/Ribera Alta;42.80554817;-2.907362586;516;842
01047;Ribera Baja/Erriberabeitia;ribera baja/erriberabeitia;Araba/Álava;araba/alava;País Vasco/Euskadi;Ribera Baja/Erriberabeitia;42.71228518;-2.918688966;481;1493
01049;Añana;anana;Araba/Álava;araba/alava;País Vasco/Euskadi;Añana;42.80237115;-2.9865226;584;141
01051;Agurain/Salvatierra;agurain/salvatierra;Araba/Álava;araba/alava;País Vasco/Euskadi;Agurain/Salvatierra;42.850452;-2.389753;608;5173
01052;Samaniego;samaniego;Araba/Álava;araba/alava;País Vasco/Euskadi;Samaniego;42.56810945;-2.679225962;571;292
01053;San Millán/Donemiliaga;san millan/donemiliaga;Araba/Álava;araba/alava;País Vasco/Euskadi;San Millán/Donemiliaga;42.87257138;-2.37748303;587;704
01054;Urkabustaiz;urkabustaiz;Araba/Álava;araba/alava;País Vasco/Euskadi;Urkabustaiz;42.95239599;-2.900347764;612;1460
01055;Valdegovía/Gaubea;valdegovia/gaubea;Araba/Álava;araba/alava;País Vasco/Euskadi;Valdegovía/Gaubea;42.84824666;-3.098138822;553;1063
01056;Harana/Valle de Arana;harana/valle de arana;Araba/Álava;araba/alava;País Vasco/Euskadi;Harana/Valle de Arana;42.75439749;-2.331923488;818;213
01057;Villabuena de Álava/Eskuernaga;villabuena de alava/eskuernaga;Araba/Álava;araba/alava;País Vasco/Euskadi;Villabuena de Álava/Eskuernaga;42.54890494;-2.665446963;480;280
01058;Legutio;legutio;Araba/Álava;araba/alava;País Vasco/Euskadi;Legutio;42.97783599;-2.642728453;567;2094
01059;Vitoria-Gasteiz;vitoria gasteiz;Araba/Álava;araba/alava;País Vasco/Euskadi;Vitoria-Gasteiz;42.84682395;-2.672340318;526;260402
01060;Yécora/Iekora;yecora/iekora;Araba/Álava;araba/alava;País Vasco/Euskadi;Yécora/Iekora;42.56924393;-2.47025534;692;276
01061;Zalduondo;zalduondo;Araba/Álava;araba/alava;País Vasco/Euskadi;Zalduondo;42.88548624;-2.347933788;606;196
01062;Zambrana;zambrana;Araba/Álava;araba/alava;País Vasco/Euskadi;Zambrana;42.66100415;-2.877876362;460;452
01063;Zuia;zuia;Araba/Álava;araba/alava;País Vasco/Euskadi;Zuia;42.95630575;-2.81995968;616;2365
01901;Iruña Oka/Iruña de Oca;iruna oka/iruna de oca;Araba/Álava;araba/alava;País Vasco/Euskadi;Iruña Oka/Iruña de Oca;42.81803444;-2.808334382;487;3697
01902;Lantarón;lantaron;Araba/Álava;araba/alava;País Vasco/Euskadi;Lantarón;42.71657557;-2.96649719;482;935
02001;Abengibre;abengibre;Albacete;albacete;Castilla-La Mancha;Abengibre;39.20975159;-1.54079588;646;747
02002;Alatoz;alatoz;Albacete;albacete;Castilla-La Mancha;Alatoz;39.09444837;-1.36100986;850;506
02003;Albacete;albacete;Albacete;albacete;Castilla-La Mancha;Albacete;38.99613428;-1.855677516;681;175068
02004;Albatana;albatana;Albacete;albacete;Castilla-La Mancha;Albatana;38.57110118;-1.522799778;583;653
02005;Alborea;alborea;Albacete;albacete;Castilla-La Mancha;Alborea;39.27968339;-1.395984585;696;688
02006;Alcadozo;alcadozo;Albacete;albacete;Castilla-La Mancha;Alcadozo;38.64886541;-1.980882925;925;638
