Provincia;Provincia_normalizada;Capital;Municipio_catalogo;Fuente
Albacete;albacete;Albacete;Albacete;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Alicante/Alacant;alicante alacant;Alacant/Alicante;Alicante/Alacant;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Almería;almeria;Almería;Almería;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Ávila;avila;Ávila;Ávila;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Badajoz;badajoz;Badajoz;Badajoz;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Illes Balears;illes balears;Palma;Palma;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Barcelona;barcelona;Barcelona;Barcelona;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Bizkaia;bizkaia;Bilbao;Bilbao;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Burgos;burgos;Burgos;Burgos;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Cáceres;caceres;Cáceres;Cáceres;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Cádiz;cadiz;Cádiz;Cádiz;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Cantabria;cantabria;Santander;Santander;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Castellón/Castelló;castellon castello;Castelló de la Plana/Castellón de la Plana;Castellón de la Plana/Castelló de la Plana;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Ciudad Real;ciudad real;Ciudad Real;Ciudad Real;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
Córdoba;cordoba;Córdoba;Córdoba;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
A Coruña;a coruna;A Coruña;Coruña, A;INE Tabla 2919 (Capitales de provincia), https://www.ine.es/jaxiT3/files/t/csv_bdsc/2919.csv
