Administracion;Familia;Municipio;Provincia;Fuente;Confianza
Cabildo Insular de Fuerteventura;CABILDO;Puerto del Rosario;Las Palmas;https://www.cabildofuer.es/;ALTA
Cabildo Insular de Tenerife;CABILDO;Santa Cruz de Tenerife;Santa Cruz de Tenerife;https://www.tenerife.es/;ALTA
Cabildo Insular de Lanzarote;CABILDO;Arrecife;Las Palmas;https://www.cabildodelanzarote.com/;ALTA
Cabildo Insular de La Palma;CABILDO;Santa Cruz de la Palma;Santa Cruz de Tenerife;https://www.cabildodelapalma.es/;ALTA
Cabildo Insular de La Gomera;CABILDO;San Sebastián de la Gomera;Santa Cruz de Tenerife;https://www.lagomera.es/;ALTA
Consejo Insular de Mallorca;CONSEJO_INSULAR;Palma;Illes Balears;https://www.conselldemallorca.cat/;ALTA
Consejo Insular de Ibiza;CONSEJO_INSULAR;Eivissa;Illes Balears;https://www.conselldeivissa.es/;ALTA
Consejo Insular de Formentera;CONSEJO_INSULAR;Formentera;Illes Balears;https://www.consellinsulardeformentera.cat/;ALTA
Consorcio Hospitalario Provincial de Castellón;CONSORCIO;Castellón de la Plana/Castelló de la Plana;Castellón/Castelló;https://www.dipcas.es/;ALTA
Cabildo Insular de Gran Canaria;CABILDO;Las Palmas de Gran Canaria;Las Palmas;https://cabildo.grancanaria.com/w/gabinete-de-presidencia;ALTA
Cabildo Insular de El Hierro;CABILDO;Valverde;Santa Cruz de Tenerife;https://transparencia.elhierro.es/informacion-organizativa/organos-de-gobierno;ALTA
Consorcio de Aguas Bilbao Bizkaia;CONSORCIO;Bilbao;Bizkaia;https://catabb.consorciodeaguas.eus/aviso-legal/;ALTA
Consorcio de Bomberos de la Provincia de Cádiz;CONSORCIO;Cádiz;Cádiz;https://sede.cbpc.es/contacto;ALTA
Instituto Foral de Asistencia Social;INSTITUTO;Bilbao;Bizkaia;https://www.ifas.bizkaia.eus/contactos.asp?idioma=ca;ALTA
Mancomunidad de Islantilla;MANCOMUNIDAD;Isla Cristina;Huelva;https://www.islantilla.es/contratante/contacto.html;ALTA
Mancomunidad de Municipios de la Vall d'Albaida;MANCOMUNIDAD;Ontinyent;Valencia/València;https://www.entidadeslocales.gva.es/index.php?id=45&lang=es&option=com_reglocal_entloc&task=muestraEntidad&tipo=3;ALTA
Mancomunidad del Guadalquivir;MANCOMUNIDAD;Sanlúcar la Mayor;Sevilla;https://www.juntadeandalucia.es/boja/2011/141/10;ALTA
