boe,fecha_min,fecha_max,puestos_numericos,filas_total,otros_candidatos,filas_afectadas,fuente_oficial,revision_oficial,evidencia
BOE-A-2004-21227,2004-12-17,2004-12-17,0,0,1,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2004-21227,COMPLETA,"HTML oficial revisado: 'Del total de las plazas' aparece en narrativa, no como denominación profesional."
BOE-A-2019-7651,2019-05-23,2019-05-23,0,0,1,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2019-7651,COMPLETA,HTML oficial revisado: 'Del total de la convocatoria' es narrativa y el anexo contiene las plazas docentes.
BOE-A-2020-10185,2020-09-03,2020-09-03,0,0,1,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2020-10185,COMPLETA,HTML oficial revisado: 'Del total de la convocatoria' es narrativa y el anexo contiene las plazas docentes.
BOE-A-2021-14357,2021-09-01,2021-09-01,41,0,0,41,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,COMPLETA,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920."
BOE-A-2021-3957,2021-03-13,2021-03-13,1,0,0,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-3957,COMPLETA,HTML oficial revisado: la denominación INSPECTOR/INSPECTORA DE TRABAJO Y S.S. precede al código de cuerpo 1502.
BOE-A-2022-10576,2022-06-27,2022-06-27,1,0,0,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-10576,COMPLETA,"HTML oficial revisado: la tabla usa N.º orden, N.º plazas, Código puesto y Denominación; el 12 persistido es N.º orden."
BOE-A-2022-10890,2022-07-01,2022-07-01,1,0,0,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-10890,COMPLETA,"HTML oficial revisado: la tabla usa N.º orden, N.º plazas, Código puesto y Denominación; el 13 persistido es N.º orden."
BOE-A-2022-11535,2022-07-12,2022-07-12,3,0,0,3,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11535,COMPLETA,HTML oficial revisado: las filas JURISTA/PSICOLOGO preceden a la columna Cuerpo 0902.
BOE-A-2022-11655,2022-07-14,2022-07-14,1,0,0,1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11655,COMPLETA,"HTML oficial revisado: concurso específico del ICAC; el valor numérico aislado procede de una columna de identificación/código, no de una denominación."
BOE-A-2022-16054,2022-10-03,2022-10-03,0,5,0,5,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-16054,COMPLETA,HTML oficial revisado
