id,texto_persistido,plazas_persistidas,boe,fecha,tipo_total,suma_filas_componentes,coincide_total,doble_contabilizacion,clasificacion
44634,N.º total de plazas.,1532,BOE-A-2022-16054,2022-10-03,TOTAL_AGREGADO,1532,SI,SI,SEGURO_FILA_NO_PUESTO
44643,N.º total de plazas.,44,BOE-A-2022-16054,2022-10-03,TOTAL_AGREGADO,44,SI,SI,SEGURO_FILA_NO_PUESTO
44664,N.º total de plazas.,22,BOE-A-2022-16054,2022-10-03,TOTAL_AGREGADO,22,SI,SI,SEGURO_FILA_NO_PUESTO
44673,N.º total de plazas.,1298,BOE-A-2022-16054,2022-10-03,TOTAL_AGREGADO,1298,SI,SI,SEGURO_FILA_NO_PUESTO
44690,N.º total de plazas.,260,BOE-A-2022-16054,2022-10-03,TOTAL_AGREGADO,260,SI,SI,SEGURO_FILA_NO_PUESTO
47715,N.º total de plazas.,183,BOE-A-2022-20930,2022-12-12,TOTAL_AGREGADO,183,SI,SI,SEGURO_FILA_NO_PUESTO
51012,N.º total de plazas.,132,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,132,SI,SI,SEGURO_FILA_NO_PUESTO
51017,N.º total de plazas.,4,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,4,SI,SI,SEGURO_FILA_NO_PUESTO
51025,N.º total de plazas.,58,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,58,SI,SI,SEGURO_FILA_NO_PUESTO
51055,N.º total de plazas.,1113,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,1113,SI,SI,SEGURO_FILA_NO_PUESTO
51060,N.º total de plazas.,9,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,9,SI,SI,SEGURO_FILA_NO_PUESTO
51067,N.º total de plazas.,688,BOE-A-2022-22774,2022-12-28,TOTAL_AGREGADO,688,SI,SI,SEGURO_FILA_NO_PUESTO
95102,N.º total de plazas.,1268,BOE-A-2025-4444,2025-03-06,TOTAL_AGREGADO,1268,SI,SI,SEGURO_FILA_NO_PUESTO
