id,puesto_persistido,puesto_normalizado,plazas_persistidas,fecha_boe,boe,fuente_oficial,clasificacion,puesto_correcto_si_determinable,plazas_correctas_si_determinables,registro_espurio,causa
36474,1502,1502,1,2021-03-13,BOE-A-2021-3957,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-3957,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38539,0920,0920,12,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,12,NO,CELDA_DESALINEADA
38540,0919,0919,13,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,13,NO,CELDA_DESALINEADA
38541,0909/0910,0909/0910,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38542,0919,0919,16,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,16,NO,CELDA_DESALINEADA
38543,0919,0919,9,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,9,NO,CELDA_DESALINEADA
38544,0920,0920,18,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,18,NO,CELDA_DESALINEADA
38545,0920,0920,8,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,8,NO,CELDA_DESALINEADA
38546,0920,0920,13,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,13,NO,CELDA_DESALINEADA
38547,0920,0920,7,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,7,NO,CELDA_DESALINEADA
38548,0920,0920,5,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,5,NO,CELDA_DESALINEADA
38549,0919,0919,5,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,5,NO,CELDA_DESALINEADA
38550,0919/0920,0919/0920,6,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,6,NO,CELDA_DESALINEADA
38551,0920,0920,15,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,15,NO,CELDA_DESALINEADA
38553,0919/0920,0919/0920,7,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,7,NO,CELDA_DESALINEADA
38554,0920,0920,10,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,10,NO,CELDA_DESALINEADA
38555,0919,0919,4,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,4,NO,CELDA_DESALINEADA
38556,0919,0919,10,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,10,NO,CELDA_DESALINEADA
