id,categoria,boe,estructura_boe,persistido,resultado_reconstruccion,clasificacion,registro_espurio,fuente_oficial
36474,PUESTO_NUMERICO,BOE-A-2021-3957,HTML oficial revisado: la denominación INSPECTOR/INSPECTORA DE TRABAJO Y S.S. precede al código de cuerpo 1502.,1502 (1 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-3957
38539,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (12 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38540,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919 (13 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38541,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0909/0910 (1 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38542,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919 (16 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38543,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919 (9 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38544,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (18 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38545,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (8 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38546,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (13 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38547,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (7 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38548,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (5 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38549,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919 (5 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38550,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919/0920 (6 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38551,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (15 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38553,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919/0920 (7 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38554,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0920 (10 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
38555,PUESTO_NUMERICO,BOE-A-2021-14357,"HTML oficial revisado: las denominaciones (SERVICIO INTERIOR, OFICINA GENERICO, etc.) preceden a la columna Cuerpo con códigos 0919/0920.",0919 (4 plazas),reextracción de denominación; el número es código de cuerpo/escala,OTRO_EXPLICITO,NO,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357
