id,boe,puesto_antes,puesto_despues,plazas_antes,plazas_despues,tipo,duplicacion,clave_correspondencia
36474,BOE-A-2021-3957,1502,INSPECTOR/INSPECTORA DE TRABAJO Y S.S. N27.,1,1,,,BOE-A-2021-3957:tabla=0:fila=2:codigo/plazas=1502/1
38539,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,12,12,,,BOE-A-2021-14357:tabla=0:fila=19:codigo/plazas=0920/12
38540,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,13,13,,,BOE-A-2021-14357:tabla=0:fila=244:codigo/plazas=0919/13
38541,BOE-A-2021-14357,0909/0910,ESPECIALISTA DE OFICINAS.,1,1,,,BOE-A-2021-14357:tabla=0:fila=269:codigo/plazas=0909/0910/1
38542,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,16,16,,,BOE-A-2021-14357:tabla=0:fila=306:codigo/plazas=0919/16
38543,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,9,9,,,BOE-A-2021-14357:tabla=0:fila=315:codigo/plazas=0919/9
38544,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,18,18,,,BOE-A-2021-14357:tabla=0:fila=324:codigo/plazas=0920/18
38545,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA.,8,8,,,BOE-A-2021-14357:tabla=0:fila=326:codigo/plazas=0920/8
38546,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,13,13,,,BOE-A-2021-14357:tabla=0:fila=335:codigo/plazas=0920/13
38547,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,7,7,,,BOE-A-2021-14357:tabla=0:fila=348:codigo/plazas=0920/7
