id,boe,puesto_reconstruido,puesto_normalizado,estado,motivo
36474,BOE-A-2021-3957,INSPECTOR/INSPECTORA DE TRABAJO Y S.S. N27.,Inspector/Inspector DE TRABAJO Y S.S. N27.,CUBIERTO_POR_NORMALIZADOR,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38539,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38540,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38541,BOE-A-2021-14357,ESPECIALISTA DE OFICINAS.,ESPECIALISTA DE OFICINAS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38542,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38543,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38544,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38545,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA.,SERVICIO INTERIOR DE VIGILANCIA.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38546,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38547,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38548,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA.,SERVICIO INTERIOR DE VIGILANCIA.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38549,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38550,BOE-A-2021-14357,OFICINA GENERICO.,OFICINA GENERICO.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38551,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38553,BOE-A-2021-14357,OFICINA GENERICO.,OFICINA GENERICO.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38554,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA DOS.,SERVICIO INTERIOR DE VIGILANCIA DOS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38555,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38556,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38557,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38558,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA DOS.,SERVICIO INTERIOR DE VIGILANCIA DOS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38559,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38560,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA.,SERVICIO INTERIOR DE VIGILANCIA.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38561,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA DOS.,SERVICIO INTERIOR DE VIGILANCIA DOS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38563,BOE-A-2021-14357,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38564,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA.,SERVICIO INTERIOR DE VIGILANCIA.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38565,BOE-A-2021-14357,SERVICIO INTERIOR DE VIGILANCIA DOS.,SERVICIO INTERIOR DE VIGILANCIA DOS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38566,BOE-A-2021-14357,GENERICO AREA MIXTA.,GENERICO AREA MIXTA.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
38567,BOE-A-2021-14357,ESPECIALISTA DE OFICINAS.,ESPECIALISTA DE OFICINAS.,PRE_FASE9_PENDIENTE_NORMALIZACION,Inventario para auditoría semántica posterior; FASE 8 permanece cerrada
