id,boe,puesto_antes,puesto_despues,puesto_normalizado_antes,puesto_normalizado_despues,plazas_antes,plazas_despues,campos_adicionales_modificados,clave_correspondencia,evidencia,candidatos_clave,confianza
36474,BOE-A-2021-3957,1502,INSPECTOR/INSPECTORA DE TRABAJO Y S.S. N27.,1502,Inspector/Inspector DE TRABAJO Y S.S. N27.,1,1,"puesto,puesto_normalizado",BOE-A-2021-3957:tabla=0:fila=2:codigo/plazas=1502/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-3957,110,ALTA_ESTRUCTURAL_ORDEN
38539,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,12,12,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=19:codigo/plazas=0920/12,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38540,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,13,13,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=244:codigo/plazas=0919/13,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,2,ALTA_ESTRUCTURAL_ORDEN
38541,BOE-A-2021-14357,0909/0910,ESPECIALISTA DE OFICINAS.,0909/0910,ESPECIALISTA DE OFICINAS.,1,1,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=269:codigo/plazas=0909/0910/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38542,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,16,16,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=306:codigo/plazas=0919/16,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38543,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,9,9,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=315:codigo/plazas=0919/9,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38544,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,18,18,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=324:codigo/plazas=0920/18,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38545,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA.,0920,SERVICIO INTERIOR DE VIGILANCIA.,8,8,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=326:codigo/plazas=0920/8,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38546,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,13,13,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=335:codigo/plazas=0920/13,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38547,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,7,7,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=348:codigo/plazas=0920/7,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38548,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA.,0920,SERVICIO INTERIOR DE VIGILANCIA.,5,5,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=349:codigo/plazas=0920/5,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38549,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,5,5,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=357:codigo/plazas=0919/5,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38550,BOE-A-2021-14357,0919/0920,OFICINA GENERICO.,0919/0920,OFICINA GENERICO.,6,6,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=359:codigo/plazas=0919/0920/6,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38551,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,15,15,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=368:codigo/plazas=0920/15,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38553,BOE-A-2021-14357,0919/0920,OFICINA GENERICO.,0919/0920,OFICINA GENERICO.,7,7,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=504:codigo/plazas=0919/0920/7,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38554,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,10,10,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=505:codigo/plazas=0920/10,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38555,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,4,4,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=514:codigo/plazas=0919/4,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
